date,open,high,low,close,volume,rsi,vwap,sma,ema,vix,spx,gold,nasdaq,dji,dx,fear&greed_idx,fgi_cls,close_ffd,eos_price,prediction,ground_truth,pred,lab,meta_target
2022-08-22,21516.7,21548.71,20890.18,21399.83,222222.04526,31.15520603491281,23165.930836457614,23112.719,22731.546068481035,23.799999237060547,4137.990234375,1734.0,12381.5703125,33063.609375,109.0500030517578,29.0,Fear,27.89731559141001,,,,,,
2022-08-23,21400.75,21684.87,20890.14,21529.12,200967.77164,36.17989676041901,23069.771246889064,23048.2565,22617.02930005427,24.11000061035156,4128.72998046875,1746.800048828125,12381.2998046875,32909.58984375,108.62000274658205,28.0,Fear,258.582863014326,,,,,,
2022-08-24,21529.11,21900.0,21145.0,21368.08,174383.22046,25.23477438100585,23006.13059434283,22985.5115,22498.08174766815,22.81999969482422,4140.77001953125,1747.800048828125,12431.5302734375,32969.23046875,108.68000030517578,25.0,Extreme Fear,90.21954041858407,,,,,,
2022-08-25,21368.05,21819.88,21310.15,21559.04,169915.78301,27.97448940798587,22932.159408122283,22897.8425,22408.649200271186,21.780000686645508,4199.1201171875,1757.699951171875,12639.26953125,33291.78125,108.47000122070312,25.0,Extreme Fear,389.59541792558593,,,,,,
2022-08-26,21559.04,21886.77,20107.9,20241.05,273811.61955,16.650777042671223,22770.80650402268,22762.1845,22202.21118119774,25.559999465942383,4057.659912109375,1736.0999755859375,12141.7099609375,32283.400390625,108.8000030517578,27.0,Fear,-975.865294096744,,,,,,
2022-08-27,20239.14,20402.93,19800.0,20037.6,162582.46032,15.631555616602526,22648.902388919538,22605.345,21996.057735369384,25.77666600545248,4048.643310546875,1736.2666422526042,12100.36328125,32221.930338541668,108.81333414713542,28.0,Fear,-508.9618031400969,,,,,,
2022-08-28,20037.6,20171.18,19520.0,19555.61,139307.95976,14.830945847284797,22494.729131996883,22392.6255,21763.63414152468,25.993332544962566,4039.626708984375,1736.4333089192708,12059.0166015625,32160.46028645833,108.82666524251302,28.0,Fear,-707.6644238969238,,,,,,
2022-08-29,19555.61,20433.62,19550.79,20285.73,210509.49545,23.810859607797823,22334.515024210275,22249.4145,21622.881366141377,26.209999084472656,4030.610107421875,1736.5999755859375,12017.669921875,32098.990234375,108.83999633789062,24.0,Extreme Fear,388.2065502877922,,,,,,
2022-08-30,20287.2,20576.25,19540.0,19811.66,256634.35529,23.068612065129614,22113.071307601567,22042.295,21450.384093175533,26.209999084472656,3986.159912109375,1723.199951171875,11883.1396484375,31790.869140625,108.7699966430664,27.0,Fear,-310.47693529114986,,,,,,
2022-08-31,19813.03,20490.0,19797.94,20050.02,276946.60765,27.23731911610581,21839.92398157444,21848.0765,21317.016084301675,25.8700008392334,3955.0,1712.800048828125,11816.2001953125,31510.4296875,108.6999969482422,23.0,Extreme Fear,162.69707666013346,,,,,,
