date,close,rel_interval_width,forecast_slope,bowley_skewness,moors_kurtosis,tail_asymmetry,m1_pred_proba_dn,m1_pred_proba_up,m1_dn,m1_up,m1_prediction,isTP_DN,isTP_UP
2023-03-22,27250.97,0.2086276830028643,176.49553571428945,0.04761754739701476,1.1964290194115397,0.13746575673680553,0.265,0.69,0.0,1.0,28535.332,0.0,1.0
2023-03-23,28295.41,0.2751838232998662,191.8517020089333,0.3076923076923077,1.235576044702913,0.29313919179027464,0.255,0.645,0.0,1.0,29344.674,0.0,0.0
2023-03-24,27454.47,0.2446704630645809,155.4603794642894,0.012988304358552218,1.4675323858000917,0.2777778814763093,0.295,0.615,0.0,1.0,28455.041,0.0,1.0
2023-03-25,27462.95,0.2398276017802158,162.0841936383964,-0.15789380221162944,1.4407902998307918,0.1448930573365085,0.3,0.615,0.0,1.0,28526.844,0.0,1.0
2023-03-26,27968.05,0.2545557856116757,145.5217633928631,0.3333333333333333,1.4642859282769767,0.36363703550521337,0.225,0.655,0.0,1.0,28848.236,0.0,0.0
2023-03-27,27124.91,0.2363203968075539,143.3538643973252,0.14285749674018425,1.4155855576615037,0.296757983270792,0.275,0.625,0.0,1.0,28015.457,0.0,1.0
2023-03-28,27261.07,0.1877141279952012,111.76450892857504,0.058824678309624935,1.0367659471023627,0.06542032741466593,0.285,0.55,0.0,1.0,27999.988,0.0,1.0
2023-03-29,28348.6,0.2887436020168257,159.74393136161245,0.1578934957947109,1.690787612113119,0.30753515929425845,0.24,0.685,0.0,1.0,29487.504,0.0,0.0
2023-03-30,28028.53,0.2091754291111593,118.99316406250368,0.04762000468964593,1.13095201208142,0.2556825245349287,0.32,0.605,0.0,1.0,28986.742,0.0,0.0
2023-03-31,28465.36,0.2191616057629218,167.5615234375044,6.475639615113884e-07,1.2361101577530567,0.17808219626042937,0.29,0.635,0.0,1.0,29490.861,0.0,0.0
2023-04-01,28452.73,0.2304245791318251,144.4506835937551,1.2877188961158535e-06,1.340277706237839,0.267015766988505,0.3,0.61,0.0,1.0,29323.502,0.0,0.0
2023-04-02,28171.87,0.1794916672874646,36.313546316967184,0.17646891326249048,1.154413010965409,0.13333263832597012,0.42,0.485,0.0,1.0,28300.254,0.0,0.0
2023-04-03,27800.0,0.185674900522449,63.88811383928924,0.23529308627539045,1.235293760633789,0.15789355086672255,0.38,0.5,0.0,1.0,28025.672,0.0,1.0
2023-04-04,28165.47,0.1928409904978142,73.41001674107716,0.20547821959269014,1.2602754104751948,0.17647052763287185,0.35,0.485,0.0,1.0,28434.232,0.0,1.0
2023-04-05,28170.01,0.1907212162745871,39.9784458705393,0.24637581110529255,1.2826097282996565,0.17824762919915016,0.315,0.5,0.0,1.0,28501.445,0.0,1.0
2023-04-06,28033.82,0.1835252700185422,43.27894810268409,0.1874994270805789,1.4374996033634777,0.21118003174172065,0.37,0.5,0.0,1.0,28304.627,0.0,1.0
