date,open,high,low,close,volume,amount,eos_price,prediction,q10,q20,q30,q40,q50,q60,q70,q80,q90,oct1,oct2,oct3,oct4,oct5,oct6,oct7,rel_interval_width,forecast_slope,ground_truth,pred,pred_proba,lab,meta_label
2025-09-17 11:00:00,116359.14,116383.87,116253.27,116258.13,282.02162,32800761.9572452,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 12:00:00,116258.12,116516.93,116096.41,116204.94,387.04674,45003609.263755,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 13:00:00,116204.94,116330.75,115905.88,116107.19,664.85629,77205608.6779156,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 14:00:00,116107.18,116240.0,115432.0,115606.61,1214.53614,140573642.1822756,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 15:00:00,115606.62,115886.17,115527.48,115875.32,581.89144,67327430.5980052,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 16:00:00,115875.33,115875.33,115386.21,115640.77,659.4146,76210618.6839004,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 17:00:00,115640.76,116288.27,115500.0,115504.48,696.96558,80767905.5071013,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 18:00:00,115504.49,116333.33,114720.81,115226.93,3427.38872,395906451.0396723,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 19:00:00,115226.93,115989.2,115068.33,115652.02,955.04331,110428213.9482861,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 20:00:00,115652.02,116140.2,115496.68,115621.47,455.26463,52732219.0553146,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 21:00:00,115621.47,116120.0,115307.33,116038.39,336.05085,38911404.8745251,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 22:00:00,116038.39,116823.72,116038.39,116559.69,741.17447,86245192.1893079,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17 23:00:00,116559.68,116990.68,116340.07,116447.59,836.73837,97642944.5399218,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 00:00:00,116447.6,116470.52,116092.76,116350.65,442.99009,51518554.1719145,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 01:00:00,116350.65,116869.46,116340.0,116634.84,440.77649,51404424.7913976,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 02:00:00,116634.84,116959.96,116429.55,116950.47,318.2136,37137565.9656896,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 03:00:00,116950.46,117896.0,116896.93,117581.66,1879.7006,220901850.1529643,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 04:00:00,117581.67,117750.0,117219.5,117605.16,612.3817,71953719.8148844,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 05:00:00,117605.16,117605.16,117176.1,117273.36,340.19852,39920601.5898801,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 06:00:00,117273.37,117338.05,116888.02,117102.43,474.42047,55533801.826744,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 07:00:00,117102.43,117208.0,117048.81,117086.01,362.6272,42477740.908109,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 08:00:00,117086.01,117413.04,117010.59,117229.59,383.66591,44972839.0687463,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 09:00:00,117229.58,117350.0,117107.57,117298.81,260.44715,30535599.9162776,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 10:00:00,117298.82,117307.5,117078.72,117190.47,236.63641,27732211.5598279,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 11:00:00,117190.48,117300.0,117013.77,117063.4,285.00282,33403616.622819,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 12:00:00,117063.41,117279.0,116977.59,117124.69,249.62123,29243079.3203573,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 13:00:00,117124.69,117655.55,117004.28,117432.04,647.0176,75932135.739433,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 14:00:00,117432.04,117843.83,117400.54,117640.54,711.59459,83729091.9579246,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 15:00:00,117640.54,117705.51,117322.41,117583.56,808.09852,94942160.0745494,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 16:00:00,117583.56,117789.0,117500.01,117565.6,483.30991,56874993.407188,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 17:00:00,117565.59,117765.59,117418.45,117579.93,479.43176,56371217.0310833,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 18:00:00,117579.94,117900.0,117512.11,117822.97,474.53821,55896624.9464854,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 19:00:00,117822.98,117822.98,117196.33,117450.21,391.34362,45973207.3956216,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 20:00:00,117450.21,117657.17,117337.95,117521.14,192.47211,22620174.4585813,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 21:00:00,117521.14,117521.14,117299.21,117299.21,187.11636,21965787.0541691,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 22:00:00,117299.21,117334.8,117027.34,117061.02,345.51742,40494476.8069949,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18 23:00:00,117061.02,117172.21,116612.03,117073.53,650.11136,75977872.9048672,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 00:00:00,117073.53,117427.7,117020.0,117424.2,328.86734,38557334.0955841,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 01:00:00,117424.21,117459.99,117118.21,117241.32,268.6749,31511678.0616566,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 02:00:00,117241.32,117285.99,117044.13,117112.8,395.51641,46324444.2625184,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 03:00:00,117112.81,117291.01,116871.61,116977.58,333.32919,39008567.6131979,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 04:00:00,116977.58,117100.0,116700.02,116990.65,377.41298,44114269.1006579,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 05:00:00,116990.65,117010.0,116780.75,116894.83,306.31482,35806906.18857,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 06:00:00,116894.83,116894.83,116633.86,116669.75,430.54942,50269840.7270178,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 07:00:00,116669.76,116992.81,116665.0,116909.97,423.81384,49524395.0060825,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 08:00:00,116909.98,117090.36,116882.47,116915.88,283.85786,33209364.9297422,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 09:00:00,116915.88,116979.86,116488.0,116488.0,361.47256,42186188.0280012,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 10:00:00,116488.0,116551.54,116434.23,116532.68,289.26548,33696959.2698548,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 11:00:00,116532.68,116554.05,116300.0,116394.72,309.23241,35997718.577512,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 12:00:00,116394.72,116529.08,116133.66,116162.45,488.73837,56822193.8421223,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 13:00:00,116162.45,116465.35,116075.0,116284.64,435.12378,50577860.7025559,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 14:00:00,116284.63,116479.11,115800.0,115899.99,846.39402,98288690.4738765,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 15:00:00,115899.99,115952.95,115464.19,115884.03,887.61948,102689255.2087438,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 16:00:00,115884.03,116136.0,115800.0,116088.68,355.37234,41210580.2956649,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 17:00:00,116088.68,116093.18,115538.67,115542.73,360.56628,41729512.2944102,115542.73,115290.22,115290.22,115290.22,115290.22,115290.22,115290.22,115290.22,115290.22,115290.22,115290.22,115290.21875,115290.21875,115290.21875,115290.21875,115290.21875,115290.21875,115290.21875,0.0,1.630872969949911e-11,115723.73,0.0,0.0,1.0,0.0
2025-09-19 18:00:00,115542.73,115644.73,115382.98,115407.49,388.78402,44895298.1552752,115407.49,115293.72,115293.72,115293.72,115293.72,115293.72,115293.72,115635.33,115976.94,116318.555,116660.164,115293.71875,115293.71875,115293.71875,115293.71875,115720.732421875,116147.74609375,116574.759765625,0.011818057698646236,-244.0080915178426,115623.51,1.0,0.3333333333333333,1.0,1.0
2025-09-19 19:00:00,115407.49,115479.45,115112.58,115125.12,308.93231,35616882.5094451,115125.12,115294.84,115294.84,115294.84,115294.84,115294.84,115294.84,115636.46,115978.07,116319.69,116661.3,115294.84375,115294.84375,115294.84375,115294.84375,115721.861328125,116148.87890625,116575.896484375,0.011819875397891068,2.571171504445317e-11,115606.39,1.0,1.0,1.0,1.0
2025-09-19 20:00:00,115125.13,115445.23,115100.0,115342.57,338.84816,39071092.367803,115342.57,117006.35,117006.35,117006.35,117006.35,117006.35,117006.35,117006.35,117006.35,117006.35,117006.35,117006.3515625,117006.3515625,117006.3515625,117006.3515625,117006.3515625,117006.3515625,117006.3515625,0.0,366.026785714298,115445.0,1.0,1.0,0.0,0.0
2025-09-19 21:00:00,115342.56,115532.73,115306.07,115465.39,178.46294,20597568.0579261,115465.39,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,117008.125,0.0,183.01590401786376,115568.41,1.0,1.0,0.0,0.0
2025-09-19 22:00:00,115465.39,115657.28,115465.39,115613.21,139.86142,16165884.3069503,115613.21,117009.34,117009.34,117009.34,117009.34,117009.34,117009.34,117009.34,117009.34,117009.34,117009.34,117009.34375,117009.34375,117009.34375,117009.34375,117009.34375,117009.34375,117009.34375,0.0,2.0237792838663758e-11,115717.49,1.0,1.0,0.0,0.0
2025-09-19 23:00:00,115613.21,115648.0,115448.01,115632.38,155.08032,17919917.3780702,115632.38,117005.945,115639.45,115981.08,116322.695,116664.32,117005.945,117005.945,117005.945,117005.945,117005.945,115724.857421875,116151.88671875,116578.916015625,117005.9453125,117005.9453125,117005.9453125,117005.9453125,0.011810602892157905,1.537803888383157e-11,115700.46,1.0,0.6666666666666666,0.0,0.0
2025-09-20 00:00:00,115632.39,115730.41,115548.92,115723.73,220.87363,25541621.6099609,115723.73,117005.43,117005.43,117005.43,117005.43,117005.43,117005.43,117005.43,117005.43,117005.43,117005.43,117005.4296875,117005.4296875,117005.4296875,117005.4296875,117005.4296875,117005.4296875,117005.4296875,0.0,305.01813616073076,115968.56,1.0,1.0,1.0,1.0
